epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.02686,2.57348,5.63025,1.06513,0,0,0,0,1.96482,4.61703,0.97875,3.332e-05,3.332e-05,3.332e-05
2,7.85888,2.04616,5.33459,0.98066,0,0,0,0,1.48588,4.61103,0.88729,7.42278e-05,7.42278e-05,7.42278e-05
3,11.7539,1.57461,4.89739,0.88826,0,0,0,0,1.47528,4.47943,0.86946,0.000114311,0.000114311,0.000114311
4,16.5117,1.68214,4.60787,0.83526,0,0,0,0,1.2869,4.39112,0.84041,0.000153569,0.000153569,0.000153569
5,21.1182,1.48018,4.19809,0.82148,0,0,0,0,1.25075,4.35525,0.84031,0.000192003,0.000192003,0.000192003
6,26.0165,1.56559,3.76725,0.82216,0,0,0,0,1.25735,4.31169,0.84382,0.000229612,0.000229612,0.000229612
7,29.897,1.3977,3.27572,0.8085,0.00243,0.06667,0.00621,0.0037,1.25307,4.10485,0.84968,0.000266397,0.000266397,0.000266397
8,33.9668,1.43423,3.03104,0.80078,0.01026,0.25,0.05625,0.03172,1.28626,3.96499,0.85462,0.000302357,0.000302357,0.000302357
9,38.2765,1.33784,2.80903,0.82639,0.0176,0.5,0.09537,0.06221,1.26408,3.79518,0.85446,0.000337492,0.000337492,0.000337492
10,43.2841,1.35624,2.63798,0.80957,0.02785,0.91667,0.17993,0.10181,1.31908,3.5993,0.86062,0.000371802,0.000371802,0.000371802
11,55.514,1.43594,2.76071,0.80138,0.02873,0.98333,0.23151,0.13234,1.39103,3.43511,0.86528,0.000405288,0.000405288,0.000405288
12,67.9832,1.52571,2.5693,0.81785,0.02895,1,0.26149,0.16458,1.30377,3.2605,0.85071,0.000437949,0.000437949,0.000437949
13,77.5413,1.5064,2.54987,0.78286,0.02807,1,0.32725,0.18637,1.27167,3.09689,0.84768,0.000469785,0.000469785,0.000469785
14,81.6869,1.2841,2.47505,0.80855,0.02807,1,0.32725,0.18637,1.27167,3.09689,0.84768,0.000500797,0.000500797,0.000500797
15,86.5172,1.30425,2.41717,0.81564,0.02669,1,0.35868,0.19914,1.29518,2.88576,0.85139,0.000530984,0.000530984,0.000530984
16,91.2398,1.42876,2.4276,0.79333,0.02595,1,0.32925,0.19348,1.27653,2.68395,0.85113,0.000560347,0.000560347,0.000560347
17,96.4967,1.37975,2.48819,0.79273,0.44821,0.2,0.3215,0.20244,1.25933,2.50792,0.84769,0.000588884,0.000588884,0.000588884
18,100.97,1.33744,2.44995,0.82527,0.44821,0.2,0.3215,0.20244,1.25933,2.50792,0.84769,0.000616597,0.000616597,0.000616597
19,105.175,1.20296,2.35698,0.80516,0.7095,0.11125,0.33898,0.22842,1.25265,2.38012,0.84937,0.000643486,0.000643486,0.000643486
20,109.837,1.26642,2.32755,0.7985,0.32195,0.20587,0.38322,0.25769,1.22829,2.26088,0.85073,0.00066955,0.00066955,0.00066955
21,114.31,1.3222,2.27059,0.80696,0.32195,0.20587,0.38322,0.25769,1.22829,2.26088,0.85073,0.000668066,0.000668066,0.000668066
22,118.942,1.24504,2.27573,0.81078,0.29462,0.49506,0.38936,0.24872,1.21901,2.14278,0.85151,0.000659819,0.000659819,0.000659819
23,122.827,1.2144,2.18285,0.80262,0.21404,0.65,0.39912,0.26255,1.18218,1.96805,0.85259,0.000651573,0.000651573,0.000651573
24,127.843,1.23442,2.139,0.81954,0.21404,0.65,0.39912,0.26255,1.18218,1.96805,0.85259,0.000643326,0.000643326,0.000643326
25,132.106,1.17171,2.20434,0.81442,0.25775,0.5069,0.43297,0.29765,1.14489,1.82019,0.8482,0.000635079,0.000635079,0.000635079
26,136.665,1.3167,2.18361,0.80588,0.25775,0.5069,0.43297,0.29765,1.14489,1.82019,0.8482,0.000626832,0.000626832,0.000626832
27,140.775,1.28292,2.15278,0.80822,0.40856,0.43833,0.46846,0.32396,1.15063,1.77366,0.84714,0.000618586,0.000618586,0.000618586
28,145.368,1.22561,2.00884,0.80463,0.46655,0.40922,0.50597,0.33552,1.18355,1.72678,0.85381,0.000610339,0.000610339,0.000610339
29,150.019,1.19686,2.06554,0.81603,0.46655,0.40922,0.50597,0.33552,1.18355,1.72678,0.85381,0.000602092,0.000602092,0.000602092
30,154.62,1.1525,2.00759,0.81334,0.30244,0.6,0.52364,0.35389,1.13001,1.66793,0.84612,0.000593846,0.000593846,0.000593846
31,158.842,1.1811,1.96836,0.79783,0.3507,0.68417,0.54664,0.38046,1.08231,1.58026,0.84214,0.000585599,0.000585599,0.000585599
32,162.803,1.13019,1.85457,0.81491,0.3507,0.68417,0.54664,0.38046,1.08231,1.58026,0.84214,0.000577352,0.000577352,0.000577352
33,166.868,1.10749,1.82317,0.79402,0.38523,0.71667,0.56778,0.40241,1.05721,1.4648,0.84123,0.000569106,0.000569106,0.000569106
34,171.097,1.1593,1.84252,0.80928,0.38523,0.71667,0.56778,0.40241,1.05721,1.4648,0.84123,0.000560859,0.000560859,0.000560859
