epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
20,8.10239,1.89262,2.5037,0.77915,0.64957,0.12694,0.62491,0.32467,1.76653,2.16492,0.79631,0.000411914,0.000411914,0.000411914
21,8.56397,2.04743,2.33394,0.8109,0.64957,0.12694,0.62491,0.32467,1.76653,2.16492,0.79631,0.000402868,0.000402868,0.000402868
22,8.93143,1.80959,2.2061,0.79621,0.66773,0.22098,0.62414,0.3187,1.7484,2.05167,0.79485,0.000389661,0.000389661,0.000389661
23,9.28433,1.98079,2.396,0.8302,0.64031,0.36292,0.6417,0.3307,1.72204,1.86223,0.79278,0.000376455,0.000376455,0.000376455
24,9.64164,1.98535,2.24175,0.79394,0.64031,0.36292,0.6417,0.3307,1.72204,1.86223,0.79278,0.000363248,0.000363248,0.000363248
25,10.0034,1.78328,2.18206,0.78728,0.52595,0.58905,0.63375,0.32991,1.75344,1.64298,0.797,0.000350042,0.000350042,0.000350042
26,10.3463,1.766,2.06377,0.79841,0.52595,0.58905,0.63375,0.32991,1.75344,1.64298,0.797,0.000336835,0.000336835,0.000336835
27,10.7005,1.98156,2.24178,0.75903,0.47857,0.66122,0.62448,0.32518,1.74257,1.50535,0.79458,0.000323628,0.000323628,0.000323628
28,11.0545,1.79457,2.055,0.78349,0.5104,0.70128,0.61848,0.32393,1.70014,1.49045,0.79313,0.000310422,0.000310422,0.000310422
29,11.4021,1.63017,2.19647,0.78621,0.5104,0.70128,0.61848,0.32393,1.70014,1.49045,0.79313,0.000297215,0.000297215,0.000297215
30,11.7592,1.79625,2.04005,0.7765,0.50789,0.7,0.61316,0.32899,1.68049,1.54044,0.79336,0.000284009,0.000284009,0.000284009
31,12.1142,1.90431,2.05459,0.79948,0.50912,0.70957,0.61633,0.33313,1.64206,1.54419,0.79053,0.000270802,0.000270802,0.000270802
32,12.5435,1.69632,2.0886,0.7698,0.50912,0.70957,0.61633,0.33313,1.64206,1.54419,0.79053,0.000257595,0.000257595,0.000257595
33,12.904,1.73784,2.03299,0.77595,0.50125,0.72912,0.62957,0.33995,1.58804,1.48749,0.78795,0.000244389,0.000244389,0.000244389
34,13.2607,1.67411,2.08619,0.79916,0.50125,0.72912,0.62957,0.33995,1.58804,1.48749,0.78795,0.000231182,0.000231182,0.000231182
35,13.6209,1.76302,2.03877,0.77951,0.50069,0.82245,0.6389,0.36314,1.5496,1.39789,0.78606,0.000217976,0.000217976,0.000217976
36,13.9837,2.09256,2.21323,0.75901,0.48749,0.78116,0.62759,0.36424,1.49747,1.3114,0.78342,0.000204769,0.000204769,0.000204769
37,14.3387,1.78614,2.08138,0.7666,0.48749,0.78116,0.62759,0.36424,1.49747,1.3114,0.78342,0.000191562,0.000191562,0.000191562
38,14.7047,1.88551,2.04808,0.76285,0.48295,0.86028,0.65202,0.39392,1.42401,1.23584,0.78323,0.000178356,0.000178356,0.000178356
39,15.0668,1.72533,1.95807,0.76191,0.49656,0.87918,0.6765,0.40338,1.43055,1.19984,0.78247,0.000165149,0.000165149,0.000165149
40,15.4242,1.67464,1.83999,0.76446,0.49656,0.87918,0.6765,0.40338,1.43055,1.19984,0.78247,0.000151943,0.000151943,0.000151943
41,16.2263,1.62579,2.61096,0.77832,0.50665,0.83492,0.68855,0.4156,1.44577,1.17729,0.78129,0.000138736,0.000138736,0.000138736
42,16.6823,1.54607,2.36328,0.79144,0.50665,0.83492,0.68855,0.4156,1.44577,1.17729,0.78129,0.000125529,0.000125529,0.000125529
43,17.0415,1.62799,2.25526,0.81121,0.52045,0.83028,0.69362,0.39868,1.48064,1.19629,0.78203,0.000112323,0.000112323,0.000112323
44,17.4005,1.4514,2.19908,0.78735,0.50951,0.8324,0.6901,0.38503,1.49282,1.24625,0.7818,9.91162e-05,9.91162e-05,9.91162e-05
45,17.7417,1.42733,2.12838,0.8048,0.50951,0.8324,0.6901,0.38503,1.49282,1.24625,0.7818,8.59096e-05,8.59096e-05,8.59096e-05
46,18.0931,1.43649,2.10406,0.79666,0.50554,0.86846,0.68646,0.37342,1.5116,1.26575,0.7828,7.2703e-05,7.2703e-05,7.2703e-05
47,18.4436,1.78634,2.32047,0.74085,0.50185,0.85978,0.69029,0.386,1.50926,1.27464,0.78439,5.94964e-05,5.94964e-05,5.94964e-05
48,18.785,1.45492,2.16335,0.79336,0.50185,0.85978,0.69029,0.386,1.50926,1.27464,0.78439,4.62898e-05,4.62898e-05,4.62898e-05
49,19.1346,1.7306,2.38676,0.74939,0.52074,0.84911,0.68965,0.38272,1.51136,1.26475,0.78398,3.30832e-05,3.30832e-05,3.30832e-05
50,19.4804,1.62681,2.33842,0.76439,0.52074,0.84911,0.68965,0.38272,1.51136,1.26475,0.78398,1.98766e-05,1.98766e-05,1.98766e-05
