epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,0.742381,4.98802,13.0667,1.95221,0,0,0,0,5.03646,4.7893,1.69726,2.668e-05,2.668e-05,2.668e-05
2,1.10162,3.82447,10.2301,1.51649,0,0,0,0,4.02388,4.7756,1.27336,5.94357e-05,5.94357e-05,5.94357e-05
3,1.5576,2.78285,6.12468,1.05105,0,0,0,0,3.07761,4.76672,0.98074,9.15311e-05,9.15311e-05,9.15311e-05
4,1.95731,2.82225,5.53149,0.93638,0,0,0,0,2.83616,4.71167,0.87865,0.000122966,0.000122966,0.000122966
5,2.32532,2.77935,5.29529,0.89495,0,0,0,0,2.35948,4.69049,0.84961,0.000153741,0.000153741,0.000153741
6,2.68208,2.84946,4.95696,0.8882,0,0,0,0,2.34434,4.65323,0.8448,0.000183855,0.000183855,0.000183855
7,3.09393,2.5628,4.19902,0.88433,0,0,0,0,2.5487,4.5028,0.8592,0.000213309,0.000213309,0.000213309
8,3.45408,2.56599,3.88998,0.85276,0,0,0,0,2.92597,4.33341,0.88605,0.000242103,0.000242103,0.000242103
9,3.81016,2.24607,3.62106,0.83424,0,0,0,0,2.86633,4.12664,0.876,0.000270236,0.000270236,0.000270236
10,4.17326,2.5071,3.47763,0.83202,0.01517,0.16667,0.04088,0.01361,2.38134,3.78976,0.82777,0.000297709,0.000297709,0.000297709
11,4.60393,2.57338,3.07866,0.81091,0.02255,0.35,0.07194,0.03009,2.1751,3.62172,0.81124,0.000324522,0.000324522,0.000324522
12,4.96163,2.32891,2.98427,0.83192,0.0334,0.56667,0.25487,0.11749,2.03992,3.39494,0.80249,0.000350675,0.000350675,0.000350675
13,5.32255,2.53513,2.87946,0.84136,0.04859,0.9,0.47396,0.22023,1.90387,3.12249,0.8013,0.000376167,0.000376167,0.000376167
14,5.67164,2.33804,2.81282,0.79115,0.04859,0.9,0.47396,0.22023,1.90387,3.12249,0.8013,0.000400998,0.000400998,0.000400998
15,6.02734,2.24633,2.99035,0.81737,0.04873,0.98333,0.61913,0.27137,1.9287,2.79284,0.8103,0.00042517,0.00042517,0.00042517
16,6.38724,2.32985,2.53812,0.80151,0.04528,0.98333,0.63985,0.29715,1.84869,2.51124,0.80748,0.000448681,0.000448681,0.000448681
17,6.74485,2.10947,2.43669,0.80419,0.04276,0.98333,0.64545,0.33468,1.71319,2.28011,0.79743,0.000471532,0.000471532,0.000471532
18,7.10305,1.89134,2.40101,0.80037,0.04276,0.98333,0.64545,0.33468,1.71319,2.28011,0.79743,0.000493722,0.000493722,0.000493722
19,7.45992,1.85838,2.51902,0.80382,0.70647,0.23671,0.64802,0.34548,1.69148,2.18023,0.79299,0.000515252,0.000515252,0.000515252
20,7.81326,1.89783,2.4544,0.77608,0.69344,0.16697,0.61139,0.33577,1.71202,2.06453,0.79645,0.000536122,0.000536122,0.000536122
21,8.23439,2.0115,2.30837,0.80629,0.69344,0.16697,0.61139,0.33577,1.71202,2.06453,0.79645,0.000534934,0.000534934,0.000534934
22,8.58859,1.78476,2.09061,0.79316,0.50492,0.32793,0.59081,0.31251,1.74303,1.81293,0.79506,0.000528331,0.000528331,0.000528331
23,8.93317,1.95887,2.27976,0.82534,0.50024,0.65805,0.6171,0.29916,1.76622,1.62049,0.79132,0.000521727,0.000521727,0.000521727
24,9.27323,2.05106,2.14955,0.79315,0.50024,0.65805,0.6171,0.29916,1.76622,1.62049,0.79132,0.000515124,0.000515124,0.000515124
25,9.61986,1.81319,2.07696,0.78606,0.49503,0.73409,0.60408,0.29013,1.77617,1.50679,0.78965,0.000508521,0.000508521,0.000508521
26,9.95803,1.81113,1.99387,0.7955,0.49503,0.73409,0.60408,0.29013,1.77617,1.50679,0.78965,0.000501917,0.000501917,0.000501917
27,10.3031,2.01867,2.13091,0.76133,0.51288,0.73295,0.60763,0.30111,1.74202,1.51844,0.78995,0.000495314,0.000495314,0.000495314
28,10.651,1.76028,1.95368,0.78322,0.50869,0.72877,0.62053,0.31436,1.70329,1.51066,0.79196,0.000488711,0.000488711,0.000488711
29,10.9972,1.59541,2.1002,0.78683,0.50869,0.72877,0.62053,0.31436,1.70329,1.51066,0.79196,0.000482108,0.000482108,0.000482108
30,11.3448,1.73415,1.97006,0.7738,0.51763,0.78104,0.62506,0.34287,1.60722,1.45714,0.78689,0.000475504,0.000475504,0.000475504
31,11.7681,1.8545,1.9624,0.79838,0.48373,0.78973,0.63435,0.35389,1.57003,1.34915,0.78604,0.000468901,0.000468901,0.000468901
32,12.1148,1.61914,1.96117,0.76414,0.48373,0.78973,0.63435,0.35389,1.57003,1.34915,0.78604,0.000462298,0.000462298,0.000462298
33,12.4683,1.73445,1.89289,0.77753,0.47503,0.87682,0.63756,0.35476,1.58349,1.27813,0.7869,0.000455694,0.000455694,0.000455694
34,12.8175,1.64926,1.95547,0.79487,0.47503,0.87682,0.63756,0.35476,1.58349,1.27813,0.7869,0.000449091,0.000449091,0.000449091
35,13.1719,1.74413,1.8669,0.77348,0.49315,0.90221,0.65066,0.37453,1.54042,1.24598,0.78208,0.000442488,0.000442488,0.000442488
36,13.5271,1.96634,2.08515,0.75261,0.50722,0.83137,0.67134,0.39707,1.47187,1.25109,0.77717,0.000435884,0.000435884,0.000435884
37,13.8748,1.75937,1.95841,0.75733,0.50722,0.83137,0.67134,0.39707,1.47187,1.25109,0.77717,0.000429281,0.000429281,0.000429281
38,14.2344,1.89823,1.91097,0.75547,0.53933,0.78699,0.68663,0.40842,1.46278,1.24692,0.77522,0.000422678,0.000422678,0.000422678
39,14.592,1.70833,1.87197,0.75553,0.56342,0.86558,0.71717,0.43154,1.4475,1.17918,0.77633,0.000416075,0.000416075,0.000416075
40,14.9389,1.58592,1.68706,0.75516,0.56342,0.86558,0.71717,0.43154,1.4475,1.17918,0.77633,0.000409471,0.000409471,0.000409471
41,15.3777,1.6994,1.88976,0.79182,0.58273,0.84805,0.73799,0.43051,1.50157,1.09063,0.77693,0.000402868,0.000402868,0.000402868
42,15.7138,1.67516,1.81444,0.77974,0.58273,0.84805,0.73799,0.43051,1.50157,1.09063,0.77693,0.000396265,0.000396265,0.000396265
43,16.0602,1.77992,1.86433,0.72087,0.60564,0.84918,0.77175,0.45229,1.43745,1.06265,0.77392,0.000389661,0.000389661,0.000389661
44,16.4144,1.66734,1.84895,0.76651,0.62645,0.87588,0.79007,0.47136,1.39686,1.07498,0.77408,0.000383058,0.000383058,0.000383058
45,16.7603,1.6662,1.7824,0.75094,0.62645,0.87588,0.79007,0.47136,1.39686,1.07498,0.77408,0.000376455,0.000376455,0.000376455
46,17.1168,1.5302,1.71149,0.75978,0.6297,0.80719,0.78838,0.46938,1.40607,1.08338,0.7744,0.000369851,0.000369851,0.000369851
47,17.4591,1.63742,1.80009,0.79093,0.58523,0.85,0.78691,0.4598,1.4742,1.09443,0.77863,0.000363248,0.000363248,0.000363248
48,17.7967,1.65149,1.74914,0.75633,0.58523,0.85,0.78691,0.4598,1.4742,1.09443,0.77863,0.000356645,0.000356645,0.000356645
49,18.1421,1.67301,1.81628,0.76954,0.57851,0.83722,0.76811,0.44945,1.50296,1.09623,0.77867,0.000350042,0.000350042,0.000350042
50,18.4778,1.77273,1.85972,0.7872,0.57851,0.83722,0.76811,0.44945,1.50296,1.09623,0.77867,0.000343438,0.000343438,0.000343438
51,18.9005,1.50846,1.85603,0.76042,0.57223,0.83762,0.78787,0.47754,1.49674,1.07568,0.77575,0.000336835,0.000336835,0.000336835
52,19.2573,1.8075,1.83887,0.75093,0.61871,0.89435,0.78885,0.48091,1.46885,1.05765,0.77325,0.000330232,0.000330232,0.000330232
53,19.603,1.62544,1.70085,0.77529,0.61871,0.89435,0.78885,0.48091,1.46885,1.05765,0.77325,0.000323628,0.000323628,0.000323628
54,19.9578,1.65481,1.7788,0.76967,0.63912,0.91002,0.7947,0.50145,1.37632,1.03923,0.77155,0.000317025,0.000317025,0.000317025
55,20.3281,1.52113,1.63945,0.7732,0.65673,0.9132,0.80395,0.50166,1.36802,1.04298,0.77351,0.000310422,0.000310422,0.000310422
56,20.6748,1.73602,1.69699,0.76134,0.65673,0.9132,0.80395,0.50166,1.36802,1.04298,0.77351,0.000303818,0.000303818,0.000303818
57,21.0324,1.68917,1.68412,0.75304,0.63565,0.91708,0.81442,0.50561,1.40264,1.08304,0.77531,0.000297215,0.000297215,0.000297215
58,21.3816,1.68769,1.61413,0.76105,0.63565,0.91708,0.81442,0.50561,1.40264,1.08304,0.77531,0.000290612,0.000290612,0.000290612
59,21.7402,1.73502,1.76452,0.76819,0.64115,0.88333,0.82538,0.50731,1.4258,1.10924,0.77551,0.000284009,0.000284009,0.000284009
