epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,0.806507,3.39309,7.11112,0.00516,0,0,0,0,3.29706,4.66823,0.00697,1.538e-05,1.538e-05,1.538e-05
2,1.18859,3.6684,7.69249,0.00532,0,0,0,0,3.18752,4.6723,0.00662,3.76887e-05,3.76887e-05,3.76887e-05
3,1.62826,3.56884,8.75801,0.00538,0,0,0,0,2.93287,4.6716,0.00565,5.90838e-05,5.90838e-05,5.90838e-05
4,2.06367,3.06193,7.09548,0.00433,0,0,0,0,2.8052,4.668,0.00471,7.95654e-05,7.95654e-05,7.95654e-05
5,2.53805,2.96363,6.98427,0.00395,0,0,0,0,2.72795,4.63616,0.00436,9.91333e-05,9.91333e-05,9.91333e-05
6,2.96225,2.75803,6.52815,0.00318,0,0,0,0,2.7259,4.5101,0.00413,0.000117788,0.000117788,0.000117788
7,3.35743,3.2285,6.45325,0.00348,0,0,0,0,2.69864,4.50146,0.00401,0.000135529,0.000135529,0.000135529
8,3.75068,2.82298,6.55292,0.00297,0,0,0,0,2.64801,4.53393,0.00381,0.000152356,0.000152356,0.000152356
9,4.15504,2.59612,6.18555,0.00273,0,0,0,0,2.64322,4.54509,0.00386,0.00016827,0.00016827,0.00016827
10,4.63275,2.59616,5.83246,0.00267,0,0,0,0,2.5312,4.55001,0.0037,0.00018327,0.00018327,0.00018327
11,5.03103,2.29945,5.871,0.00236,0,0,0,0,2.4022,4.51163,0.00353,0.000197356,0.000197356,0.000197356
12,5.42512,2.15365,5.97755,0.00229,0,0,0,0,2.35149,4.49973,0.0035,0.000210529,0.000210529,0.000210529
13,5.81897,2.20514,6.05259,0.00242,0,0,0,0,2.22567,4.49648,0.00325,0.000222789,0.000222789,0.000222789
14,6.2864,2.24428,5.86368,0.00226,0,0,0,0,2.09985,4.52962,0.00306,0.000234134,0.000234134,0.000234134
15,6.66748,2.31891,5.8355,0.0023,0,0,0,0,2.09985,4.52962,0.00306,0.000244567,0.000244567,0.000244567
16,7.06399,2.37903,5.50401,0.00214,0,0,0,0,2.04499,4.48886,0.00299,0.000254085,0.000254085,0.000254085
17,7.45897,1.89541,5.8836,0.00203,0,0,0,0,1.99141,4.45394,0.00288,0.00026269,0.00026269,0.00026269
18,7.84293,1.94345,5.55302,0.00193,0,0,0,0,1.99141,4.45394,0.00288,0.000270382,0.000270382,0.000270382
19,8.30848,2.19713,6.19814,0.00221,0,0,0,0,2.04601,4.3804,0.00292,0.00027716,0.00027716,0.00027716
20,8.7075,2.17802,5.25831,0.00194,0,0,0,0,2.08331,4.31452,0.003,0.000283024,0.000283024,0.000283024
21,9.0872,2.00153,5.42992,0.0021,0,0,0,0,2.08331,4.31452,0.003,0.000287975,0.000287975,0.000287975
22,9.48272,2.29388,5.33039,0.00208,0,0,0,0,2.04495,4.26997,0.00294,0.000292012,0.000292012,0.000292012
23,9.93828,1.91398,5.37791,0.00195,0,0,0,0,2.04495,4.26997,0.00294,0.000295136,0.000295136,0.000295136
24,10.3325,1.96907,4.96929,0.00193,0.00111,0.04167,0.00636,0.00381,2.00229,4.12559,0.00293,0.000297346,0.000297346,0.000297346
25,10.7155,1.9098,4.98211,0.00179,0.00111,0.04167,0.00636,0.00381,2.00229,4.12559,0.00293,0.000298643,0.000298643,0.000298643
26,11.1112,2.06271,5.0797,0.00176,0.00413,0.16667,0.0247,0.0123,1.93013,3.98751,0.00283,0.000299026,0.000299026,0.000299026
27,11.5797,2.03709,4.82076,0.00177,0.00413,0.16667,0.0247,0.0123,1.93013,3.98751,0.00283,0.000298495,0.000298495,0.000298495
28,11.9752,1.66859,5.15604,0.0017,0.00584,0.25,0.04441,0.01616,1.92379,3.84557,0.00286,0.000297051,0.000297051,0.000297051
29,12.3579,1.82354,4.54759,0.0019,0.00584,0.25,0.04441,0.01616,1.92379,3.84557,0.00286,0.000294693,0.000294693,0.000294693
30,12.7397,1.80177,4.5213,0.00171,0.00584,0.25,0.04441,0.01616,1.92379,3.84557,0.00286,0.000291422,0.000291422,0.000291422
31,13.2063,1.64797,4.98891,0.00181,0.00624,0.29167,0.05422,0.0206,1.92633,3.66294,0.00293,0.000287237,0.000287237,0.000287237
32,13.5873,1.7096,4.88005,0.0018,0.00624,0.29167,0.05422,0.0206,1.92633,3.66294,0.00293,0.000282138,0.000282138,0.000282138
33,13.9857,1.57501,4.66505,0.00151,0.00613,0.29167,0.10137,0.03932,1.9267,3.5129,0.00282,0.000276126,0.000276126,0.000276126
34,14.3735,1.97794,4.64346,0.00177,0.00613,0.29167,0.10137,0.03932,1.9267,3.5129,0.00282,0.000266535,0.000266535,0.000266535
35,14.8359,1.70596,4.63517,0.00176,0.00613,0.29167,0.10137,0.03932,1.9267,3.5129,0.00282,0.000251309,0.000251309,0.000251309
36,15.2304,1.74911,4.40856,0.00187,0.0105,0.375,0.11375,0.0403,1.91851,3.37322,0.00279,0.000236083,0.000236083,0.000236083
37,15.6189,1.94853,4.26708,0.00176,0.0105,0.375,0.11375,0.0403,1.91851,3.37322,0.00279,0.000220857,0.000220857,0.000220857
38,16.0082,1.71309,4.57991,0.00158,0.0105,0.375,0.11375,0.0403,1.91851,3.37322,0.00279,0.000205631,0.000205631,0.000205631
39,16.41,1.90695,4.24851,0.00191,0.77555,0.04167,0.13294,0.0472,1.91597,3.26774,0.00279,0.000190404,0.000190404,0.000190404
40,16.8694,1.52854,4.33665,0.00147,0.77555,0.04167,0.13294,0.0472,1.91597,3.26774,0.00279,0.000175178,0.000175178,0.000175178
41,17.6777,1.78919,5.1572,0.00204,0.78045,0.04167,0.17999,0.07217,1.94385,3.14431,0.0028,0.000159952,0.000159952,0.000159952
42,18.0678,1.64314,4.96722,0.00187,0.78045,0.04167,0.17999,0.07217,1.94385,3.14431,0.0028,0.000144726,0.000144726,0.000144726
43,18.4532,1.75497,5.25291,0.00181,0.78045,0.04167,0.17999,0.07217,1.94385,3.14431,0.0028,0.0001295,0.0001295,0.0001295
44,18.9451,1.71603,5.06342,0.0018,0.77109,0.04167,0.18755,0.07479,1.97576,3.04438,0.00285,0.000114273,0.000114273,0.000114273
45,19.3254,1.6422,5.01429,0.00175,0.77109,0.04167,0.18755,0.07479,1.97576,3.04438,0.00285,9.90472e-05,9.90472e-05,9.90472e-05
46,19.7051,1.60687,4.97999,0.00181,0.77109,0.04167,0.18755,0.07479,1.97576,3.04438,0.00285,8.3821e-05,8.3821e-05,8.3821e-05
47,20.0977,1.7188,5.00309,0.00181,0.75298,0.16667,0.1712,0.07629,2.01984,2.9653,0.00295,6.85948e-05,6.85948e-05,6.85948e-05
48,20.4785,1.75058,5.05998,0.00195,0.75298,0.16667,0.1712,0.07629,2.01984,2.9653,0.00295,5.33686e-05,5.33686e-05,5.33686e-05
49,20.9488,1.77781,5.04994,0.00188,0.56579,0.20833,0.16968,0.07585,1.95978,2.97726,0.0029,3.81424e-05,3.81424e-05,3.81424e-05
50,21.3191,1.57378,4.70892,0.00182,0.56579,0.20833,0.16968,0.07585,1.95978,2.97726,0.0029,2.29162e-05,2.29162e-05,2.29162e-05
