epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,0.772408,3.53463,7.9811,1.31262,0,0,0,0,2.96054,5.07598,1.08311,4.444e-05,4.444e-05,4.444e-05
2,1.1678,2.79332,6.57146,1.1094,0,0,0,0,2.48555,4.90427,0.94735,9.80102e-05,9.80102e-05,9.80102e-05
3,1.61009,2.44443,5.42014,0.94493,0,0,0,0,1.90024,4.70986,0.8751,0.000149381,0.000149381,0.000149381
4,2.06283,2.57732,4.77112,0.90869,0,0,0,0,1.73616,4.53125,0.86092,0.000198551,0.000198551,0.000198551
5,2.5016,2.29211,4.25001,0.85752,0,0,0,0,1.65671,4.46161,0.84799,0.000245522,0.000245522,0.000245522
6,2.91443,2.3029,3.5833,0.86361,0,0,0,0,1.66021,4.39801,0.85203,0.000290293,0.000290293,0.000290293
7,3.32783,2.06913,3.25584,0.84091,0,0,0,0,1.62641,4.16309,0.84693,0.000332864,0.000332864,0.000332864
8,3.73858,2.02349,3.06892,0.82502,0,0,0,0,1.63125,4.08955,0.83979,0.000373236,0.000373236,0.000373236
9,4.14499,1.83242,2.82853,0.83185,0,0,0,0,1.66419,4.04508,0.83592,0.000411408,0.000411408,0.000411408
10,4.56024,1.85287,2.63597,0.81369,0.0009,0.05,0.01036,0.00703,1.60011,3.92731,0.83245,0.00044738,0.00044738,0.00044738
11,4.96992,2.20723,2.81513,0.8289,0.00479,0.15,0.11694,0.07713,1.5421,3.834,0.83379,0.000481152,0.000481152,0.000481152
12,5.3768,1.96568,2.67578,0.838,0.00987,0.425,0.19588,0.10488,1.50508,3.6914,0.84153,0.000512724,0.000512724,0.000512724
13,5.78862,1.97733,2.45014,0.81782,0.01522,0.85,0.40677,0.23294,1.46925,3.45913,0.83982,0.000542097,0.000542097,0.000542097
14,6.19088,1.69253,2.40676,0.81254,0.01522,0.85,0.40677,0.23294,1.46925,3.45913,0.83982,0.00056927,0.00056927,0.00056927
15,6.59627,1.65546,2.23288,0.80443,0.01703,0.975,0.69817,0.4309,1.46743,3.16455,0.83807,0.000594243,0.000594243,0.000594243
16,7.00535,1.83422,2.19577,0.79209,0.01805,1,0.79902,0.48793,1.49307,2.83685,0.84374,0.000617016,0.000617016,0.000617016
17,7.41241,1.71367,2.2658,0.81665,0.0191,1,0.85909,0.49156,1.55952,2.55687,0.85649,0.00063759,0.00063759,0.00063759
18,7.81641,1.657,2.25195,0.81185,0.0191,1,0.85909,0.49156,1.55952,2.55687,0.85649,0.000655963,0.000655963,0.000655963
19,8.22699,1.63399,2.24947,0.8136,0.0203,1,0.89778,0.51248,1.56602,2.33845,0.85683,0.000672137,0.000672137,0.000672137
20,8.64042,1.62408,2.24744,0.81598,0.82651,0.69594,0.93415,0.59806,1.36403,2.13685,0.84125,0.000686111,0.000686111,0.000686111
21,9.04678,1.72942,2.14028,0.7919,0.82651,0.69594,0.93415,0.59806,1.36403,2.13685,0.84125,0.000671044,0.000671044,0.000671044
22,9.4555,1.65866,2.02327,0.78448,0.90221,0.45703,0.91899,0.62944,1.22427,1.94265,0.8247,0.000649046,0.000649046,0.000649046
23,9.86405,1.56689,2.05447,0.78021,0.8931,0.76744,0.93,0.61659,1.27148,1.64027,0.83033,0.000627048,0.000627048,0.000627048
24,10.2525,1.53596,1.82216,0.80865,0.8931,0.76744,0.93,0.61659,1.27148,1.64027,0.83033,0.000605051,0.000605051,0.000605051
25,10.661,1.5608,1.91661,0.78481,0.76145,0.86095,0.90843,0.51977,1.5564,1.45786,0.84753,0.000583053,0.000583053,0.000583053
26,11.0636,1.56444,1.81213,0.78853,0.76145,0.86095,0.90843,0.51977,1.5564,1.45786,0.84753,0.000561055,0.000561055,0.000561055
27,11.4757,1.58275,1.78143,0.78103,0.79137,0.8616,0.92271,0.55531,1.39665,1.30836,0.8379,0.000539057,0.000539057,0.000539057
28,11.8803,1.60621,1.83006,0.79598,0.80118,0.86947,0.92869,0.62024,1.22359,1.27211,0.82599,0.000517059,0.000517059,0.000517059
29,12.2696,1.42067,1.71045,0.82138,0.80118,0.86947,0.92869,0.62024,1.22359,1.27211,0.82599,0.000495062,0.000495062,0.000495062
30,12.6715,1.44186,1.79455,0.80038,0.8847,0.94414,0.95626,0.64696,1.2482,1.28754,0.82854,0.000473064,0.000473064,0.000473064
31,13.075,1.6234,1.76848,0.78144,0.86165,0.94281,0.96583,0.6831,1.17376,1.14099,0.82546,0.000451066,0.000451066,0.000451066
32,13.4741,1.43444,1.69968,0.788,0.86165,0.94281,0.96583,0.6831,1.17376,1.14099,0.82546,0.000429068,0.000429068,0.000429068
33,13.8833,1.38182,1.6291,0.79927,0.85533,0.93697,0.97625,0.68401,1.25045,0.97854,0.82667,0.00040707,0.00040707,0.00040707
34,14.287,1.40113,1.65099,0.78956,0.85533,0.93697,0.97625,0.68401,1.25045,0.97854,0.82667,0.000385073,0.000385073,0.000385073
35,14.7023,1.43299,1.55869,0.7985,0.91857,0.95,0.99045,0.68948,1.25643,0.88499,0.82691,0.000363075,0.000363075,0.000363075
36,15.1146,1.5951,1.71035,0.78306,0.96235,0.99433,0.995,0.69224,1.20823,0.82756,0.82523,0.000341077,0.000341077,0.000341077
37,15.5236,1.39157,1.56141,0.78868,0.96235,0.99433,0.995,0.69224,1.20823,0.82756,0.82523,0.000319079,0.000319079,0.000319079
38,15.9353,1.50809,1.56354,0.76689,0.98305,0.99775,0.995,0.70282,1.18331,0.79168,0.82644,0.000297081,0.000297081,0.000297081
39,16.3462,1.4375,1.58145,0.79208,0.97586,0.98937,0.995,0.67872,1.21946,0.8057,0.82699,0.000275084,0.000275084,0.000275084
40,16.7476,1.42167,1.46303,0.77564,0.97586,0.98937,0.995,0.67872,1.21946,0.8057,0.82699,0.000253086,0.000253086,0.000253086
41,17.5156,1.39005,1.99155,0.79077,0.97812,1,0.995,0.71853,1.16114,0.77716,0.82416,0.000231088,0.000231088,0.000231088
42,17.9478,1.20419,1.81772,0.80798,0.97812,1,0.995,0.71853,1.16114,0.77716,0.82416,0.00020909,0.00020909,0.00020909
43,18.3817,1.44278,1.85663,0.82085,0.98353,1,0.995,0.72356,1.10567,0.74855,0.82123,0.000187092,0.000187092,0.000187092
44,18.8229,1.22951,1.68613,0.7892,0.97593,1,0.995,0.74616,1.05714,0.73012,0.8192,0.000165095,0.000165095,0.000165095
45,19.2547,1.21391,1.61536,0.79662,0.97593,1,0.995,0.74616,1.05714,0.73012,0.8192,0.000143097,0.000143097,0.000143097
46,19.6834,1.16775,1.52508,0.81218,0.9745,1,0.995,0.73288,1.05563,0.72944,0.8193,0.000121099,0.000121099,0.000121099
47,20.1065,1.32516,1.86961,0.782,0.97577,1,0.995,0.72355,1.07143,0.72353,0.82037,9.91012e-05,9.91012e-05,9.91012e-05
48,20.5224,1.27605,1.65089,0.80723,0.97577,1,0.995,0.72355,1.07143,0.72353,0.82037,7.71034e-05,7.71034e-05,7.71034e-05
49,20.9285,1.43259,1.89367,0.78581,0.97866,1,0.995,0.72504,1.06191,0.71581,0.82115,5.51056e-05,5.51056e-05,5.51056e-05
50,21.3308,1.29309,1.71599,0.79048,0.97866,1,0.995,0.72504,1.06191,0.71581,0.82115,3.31078e-05,3.31078e-05,3.31078e-05
